,Count of Community Services,,,,,,,,,,,,,,
,Entertainment and Recreation,,,,Law and Health,,,,,,Average Services/Stop,3.234042553,,,
,major attraction,rec centre,library,visiter info,court,PHS clinic,social dev ctr,hospital,,Rank,,total,,,
45 Street SW Station,0,1,0,0,0,0,0,0,,1,Sirocco Station,0,,,
Sirocco Station,0,0,0,0,0,0,0,0,,2,Dalhousie Station,0,,,
City Hall Station,10,0,1,3,1,0,0,1,,3,Southland Station,0,,,
1st Street SW Station,11,0,0,4,1,0,0,1,,4,Fish Creek - Lacombe Station,0,,,
Dalhousie Station,0,0,0,0,0,0,0,0,,5,69 Street SW Station,0,,,
Southland Station,0,0,0,0,0,0,0,0,,6,Canyon Meadows Station,0,,,
Fish Creek - Lacombe Station,0,0,0,0,0,0,0,0,,7,Barlow/Max Bell Station,0,,,
Centre Street Station,10,0,1,4,1,0,0,1,,8,Whitehorn Station,0,,,
Bridgeland Station,0,1,0,0,0,0,1,0,,9,Erlton/Stampede Station,0,,,
8th Street SW Station,0,0,0,0,8,0,0,8,,10,Anderson Station,0,,,
Marlborough Station,0,1,0,0,0,0,0,0,,11,Chinook Station,0,,,
69 Street SW Station,0,0,0,0,0,0,0,0,,12,Tuscany Station,0,,,
Sunalta Station,1,2,0,0,0,0,0,0,,13,Saddletowne Station,0,,,
Lions Park Station,0,1,1,0,0,1,0,0,,14,Zoo Station,0,,,
Sunnyside Station,1,1,0,0,0,0,0,0,,15,Franklin Station,0,,,
Canyon Meadows Station,0,0,0,0,0,0,0,0,,16,McKnight Westwinds Station,0,,,
Barlow/Max Bell Station,0,0,0,0,0,0,0,0,,17,Brentwood Station,0,,,
City Hall Station,10,0,1,3,0,0,0,0,,18,45 Street SW Station,1,,,
Downtown West - Kerby Station,2,0,0,0,0,0,0,0,,19,Marlborough Station,1,,,
Whitehorn Station,0,0,0,0,0,0,0,0,,20,Martindale Station,1,,,
Martindale Station,0,1,0,0,0,0,0,0,,21,SAIT/ACAD/Jubilee Station,1,,,
Erlton/Stampede Station,0,0,0,0,0,0,0,0,,22,University Station,1,,,
SAIT/ACAD/Jubilee Station,1,0,0,0,0,0,0,0,,23,Shawnessy Station,1,,,
7th Street SW Station,1,0,0,0,8,0,0,8,,24,Rundle Station,1,,,
Anderson Station,0,0,0,0,0,0,0,0,,25,39 Avenue Station,1,,,
Chinook Station,0,0,0,0,0,0,0,0,,26,Crowfoot Station,1,,,
6th Street SW Station,1,0,0,0,8,0,0,8,,27,Somerset-Bridlewood Station,1,,,
Heritage Station,0,1,0,0,0,1,1,0,,28,Shaganappi Point Station,1,,,
Downtown West - Kerby Station,2,0,0,0,0,0,0,0,,29,Bridgeland Station,2,,,
Tuscany Station,0,0,0,0,0,0,0,0,,30,Sunnyside Station,2,,,
University Station,1,0,0,0,0,0,0,0,,31,Downtown West - Kerby Station,2,,,
Saddletowne Station,0,0,0,0,0,0,0,0,,32,Downtown West - Kerby Station,2,,,
Shawnessy Station,0,1,0,0,0,0,0,0,,33,Banff Trail Station,2,,,
Banff Trail Station,1,1,0,0,0,0,0,0,,34,Westbrook Station,2,,,
4th Street SW Station,1,0,0,1,9,0,0,9,,35,Sunalta Station,3,,,
Rundle Station,0,0,0,0,0,0,0,0,,36,Lions Park Station,3,,,
Zoo Station,0,0,0,0,0,0,0,0,,37,Heritage Station,3,,,
39 Avenue Station,0,1,0,0,0,0,0,0,,38,Victoria Park/Stampede Station,5,,,
Victoria Park/Stampede Station,4,1,0,0,0,0,0,0,,39,8th Street SW Station,8,,,
Franklin Station,0,0,0,0,0,0,0,0,,40,7th Street SW Station,9,,,
Crowfoot Station,0,1,0,0,0,0,0,0,,41,6th Street SW Station,9,,,
Westbrook Station,0,0,1,0,0,1,0,0,,42,4th Street SW Station,11,,,
Somerset-Bridlewood Station,0,0,1,0,0,0,0,0,,43,City Hall Station,14,,,
McKnight Westwinds Station,0,0,0,0,0,0,0,0,,44,City Hall Station,15,,,
Brentwood Station,0,0,0,0,0,0,0,0,,45,1st Street SW Station,16,,,
Shaganappi Point Station,0,1,0,0,0,0,0,0,,46,Centre Street Station,16,,,
3rd Street SW Station,6,0,0,2,9,0,0,9,,47,3rd Street SW Station,17,,,
,,,,,,,,,,,,,,,
average servic per stop,,,,,,,,,,,,,,,
total in TOD,63,15,6,17,45,3,2,45,196,,,,,,
total calgary,44,107,21,5,9,9,8,5,208,,,,,,
% serviced,1.431818182,0.140186916,0.285714286,3.4,5,0.333333333,0.25,9,,,,,,,
,,,,,,,,,,,,,,,
total pink,177,,,,,,Total % Serviced,,0.942307692,,,,,,
total pink in TODs,101,,,,,,,,,,,,,,
percent pink,0.570621469,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
total blue,31,,,,,,,,,,,,,,
total blue in TODs,95,,,,,,,,,,,,,,
percent blue,3.064516129,,,,,,,,,,,,,,
