Area Buffer/hectar,,,,,,,,,,,,
113.072474,Parks,,,,Average area/station,9.036307197,,,,,,
100,Area,% Area,,Rank,,Total % Park,,total calgary area,total park area,total TOD Park area,1 TOD area,Total TOD Area
45 Street SW Station,8.176278,7.231006549,,1,Chinook Station,0,,85264.07517,9988.882152,480,113.072471,5314.406137
Sirocco Station,7.851646,6.943905729,,2,Whitehorn Station,1.224294429,,,,,,
City Hall Station,5.209683,4.607383933,,3,Westbrook Station,1.466218029,,% of calgary park,0.117152296,,,
1st Street SW Station,3.938066,3.482780433,,4,6th Street SW Station,1.761409236,,total % of TOD as park,11.07167945,,,
Dalhousie Station,12.717083,11.24684245,,5,4th Street SW Station,1.841208498,,,,,,
Southland Station,5.144133,4.549412265,,6,Fish Creek - Lacombe Station,2.268748449,,,,,,
Fish Creek - Lacombe Station,2.56533,2.268748449,,7,3rd Street SW Station,2.320486063,,total TOD Land Area,Total Park Area within TOD,,,
Centre Street Station,4.640331,4.10385555,,8,Shawnessy Station,3.022423477,,91,9,,,
Bridgeland Station,29.995872,26.52800539,,9,1st Street SW Station,3.482780433,,,,,,
8th Street SW Station,4.695159,4.152344805,,10,7th Street SW Station,3.744235754,,,,,,
Marlborough Station,4.974983,4.399817943,,11,Centre Street Station,4.10385555,,,,,,
69 Street SW Station,22.256206,19.68313349,,12,Rundle Station,4.125862675,,,,,,
Sunalta Station,12.488583,11.04475966,,13,8th Street SW Station,4.152344805,,,,,,
Lions Park Station,13.450489,11.89545831,,14,Brentwood Station,4.165254224,,,,,,
Sunnyside Station,28.741095,25.418295,,15,Crowfoot Station,4.287720812,,,,,,
Canyon Meadows Station,9.524855,8.423672591,,16,Marlborough Station,4.399817943,,,,,,
Barlow/Max Bell Station,30.568681,27.03459111,,17,City Hall Station,4.485525805,,,,,,
City Hall Station,5.071895,4.485525805,,18,Southland Station,4.549412265,,,,,,
Downtown West - Kerby Station,17.575588,15.54364858,,19,City Hall Station,4.607383933,,,,,,
Whitehorn Station,1.38434,1.224294429,,20,University Station,4.664852385,,,,,,
Martindale Station,15.470724,13.68213098,,21,Shaganappi Point Station,4.772352465,,,,,,
Erlton/Stampede Station,19.804354,17.51474369,,22,Anderson Station,4.874027078,,,,,,
SAIT/ACAD/Jubilee Station,17.279675,15.28194652,,23,Banff Trail Station,5.452995572,,,,,,
7th Street SW Station,4.2337,3.744235754,,24,Victoria Park/Stampede Station,6.914364499,,,,,,
Anderson Station,5.511183,4.874027078,,25,Sirocco Station,6.943905729,,,,,,
Chinook Station,0,0,,26,45 Street SW Station,7.231006549,,,,,,
6th Street SW Station,1.991669,1.761409236,,27,Heritage Station,7.877999556,,,,,,
Heritage Station,8.907849,7.877999556,,28,McKnight Westwinds Station,8.385191077,,,,,,
Downtown West - Kerby Station,17.368958,15.36090738,,29,Canyon Meadows Station,8.423672591,,,,,,
Tuscany Station,14.039038,12.4159643,,30,Franklin Station,8.932999909,,,,,,
University Station,5.274664,4.664852385,,31,39 Avenue Station,9.524616928,,,,,,
Saddletowne Station,20.274502,17.93053719,,32,Sunalta Station,11.04475966,,,,,,
Shawnessy Station,3.417529,3.022423477,,33,Dalhousie Station,11.24684245,,,,,,
Banff Trail Station,6.165837,5.452995572,,34,Lions Park Station,11.89545831,,,,,,
4th Street SW Station,2.0819,1.841208498,,35,Tuscany Station,12.4159643,,,,,,
Rundle Station,4.665215,4.125862675,,36,Martindale Station,13.68213098,,,,,,
Zoo Station,20.76319,18.36272725,,37,SAIT/ACAD/Jubilee Station,15.28194652,,,,,,
39 Avenue Station,10.76972,9.524616928,,38,Downtown West - Kerby Station,15.36090738,,,,,,
Victoria Park/Stampede Station,7.818243,6.914364499,,39,Downtown West - Kerby Station,15.54364858,,,,,,
Franklin Station,10.100764,8.932999909,,40,Erlton/Stampede Station,17.51474369,,,,,,
Crowfoot Station,4.848232,4.287720812,,41,Saddletowne Station,17.93053719,,,,,,
Westbrook Station,1.657889,1.466218029,,42,Zoo Station,18.36272725,,,,,,
Somerset-Bridlewood Station,24.599799,21.75578028,,43,69 Street SW Station,19.68313349,,,,,,
McKnight Westwinds Station,9.481343,8.385191077,,44,Somerset-Bridlewood Station,21.75578028,,,,,,
Brentwood Station,4.709756,4.165254224,,45,Sunnyside Station,25.418295,,,,,,
Shaganappi Point Station,5.396217,4.772352465,,46,Bridgeland Station,26.52800539,,,,,,
3rd Street SW Station,2.623831,2.320486063,,47,Barlow/Max Bell Station,27.03459111,,,,,,
,,,,,,,,,,,,
total park in TOD,480.226077,,,,,,,,,,,
Total Park Calgary,8500,,,,,,,,,,,
percent of total greenspace,0.056497186,,,,,,,,,,,
