,Average Store/Station,209.4468085
Rank,,Totals
1,Zoo Station,1
2,Martindale Station,4
3,45 Street SW Station,7
4,Tuscany Station,10
5,69 Street SW Station,18
6,University Station,20
7,Saddletowne Station,20
8,Barlow/Max Bell Station,21
9,Canyon Meadows Station,23
10,Erlton/Stampede Station,32
11,Shaganappi Point Station,36
12,Fish Creek - Lacombe Station,37
13,Sirocco Station,41
14,Banff Trail Station,48
15,SAIT/ACAD/Jubilee Station,57
16,Dalhousie Station,61
17,Somerset-Bridlewood Station,70
18,Franklin Station,75
19,Brentwood Station,79
20,Bridgeland Station,85
21,Crowfoot Station,86
22,Whitehorn Station,87
23,Lions Park Station,103
24,McKnight Westwinds Station,121
25,Anderson Station,128
26,Shawnessy Station,129
27,Westbrook Station,144
28,Southland Station,147
29,Heritage Station,156
30,Sunalta Station,162
31,Rundle Station,192
32,Victoria Park/Stampede Station,200
33,Sunnyside Station,201
34,39 Avenue Station,208
35,Marlborough Station,287
36,City Hall Station,345
37,City Hall Station,350
38,Downtown West - Kerby Station,367
39,Downtown West - Kerby Station,375
40,Chinook Station,482
41,8th Street SW Station,496
42,7th Street SW Station,620
43,Centre Street Station,627
44,1st Street SW Station,753
45,6th Street SW Station,761
46,3rd Street SW Station,785
47,4th Street SW Station,787
,,
,Total Stores in TOD,9844
,Total Stores in Calgary,21707
,Percent of Stores Serviced in TOD,0.453494265
