Rank,Station_Name,Score
1,Fish Creek - Lacombe Station,48
2,Canyon Meadows Station,56
3,Sirocco Station,63
4,Southland Station,76
5,Anderson Station,79
6,Whitehorn Station,79
7,Shawnessy Station,85
8,Dalhousie Station,92
9,45 Street SW Station,98
10,Zoo Station,98
11,3rd Street SW Station,100
12,Martindale Station,101
13,Crowfoot Station,102
14,Erlton/Stampede Station,102
15,Chinook Station,104
16,69 Street SW Station,105
17,Tuscany Station,105
18,Barlow/Max Bell Station,106
19,McKnight Westwinds Station,106
20,University Station,107
21,Saddletowne Station,110
22,7th Street SW Station,112
23,6th Street SW Station,115
24,Rundle Station,116
25,Brentwood Station,123
26,4th Street SW Station,124
27,Westbrook Station,127
28,8th Street SW Station,129
29,Somerset-Bridlewood Station,134
30,Banff Trail Station,135
31,Shaganappi Point Station,136
32,Marlborough Station,138
33,City Hall Station,139
34,Downtown West - Kerby Station,139
35,1st Street SW Station,143
36,Bridgeland Station,144
37,SAIT/ACAD/Jubilee Station,144
38,Franklin Station,147
39,39 Avenue Station,148
40,Centre Street Station,148
41,Downtown West - Kerby Station,150
42,Lions Park Station,153
43,City Hall Station,154
44,Sunalta Station,164
45,Victoria Park/Stampede Station,164
46,Sunnyside Station,174
47,Heritage Station,178
